name			Chin
health			100
mp				30
speed			5
type			player
projectilehit 	player
jumpheight		4
shadow			3
risetime		3
throw			3 3.5
paingrab		1
atchain			1
diesound		data/sounds/silent.wav
candamage		enemy obstacle
falldie			2
nodieblink		1
makeinv			2 0
riseinv			2 1
icon			data/chars/bosses/chin/icon.gif

palette			data/chars/bosses/chin/idle01.gif
running			25 3.5 2 0 0

animationscript		data/scripts/scripts.c
takedamagescript	data/scripts/takedamagescript.c
ondeathscript 		data/scripts/bossdeath.c
#ondrawscript		data/scripts/test.openbor

load	Chin_Effect	3

com	a2 freespecial4

anim respawn #spawn animation
	loop	0
	delay	3
	frame	none
	@cmd	intro
	@cmd	teleport
	frame	none
	
anim idle
	loop	1
	offset	52 124
	bbox	31 53 41 68
	delay	15
	frame	data/chars/bosses/chin/idle01.gif
	frame	data/chars/bosses/chin/idle02.gif
	frame	data/chars/bosses/chin/idle01.gif
	frame	data/chars/bosses/chin/idle03.gif

anim walk
	loop	1
	offset	52 124
	bbox	37 53 38 68
	delay	14
	frame	data/chars/bosses/chin/walk01.gif
	frame	data/chars/bosses/chin/walk02.gif
	frame	data/chars/bosses/chin/walk03.gif
	frame	data/chars/bosses/chin/walk04.gif
	frame	data/chars/bosses/chin/walk05.gif
	
anim run
	loop	1
	offset	52 124
	bbox	37 53 38 68
	delay	8
	frame	data/chars/bosses/chin/run01.gif
	frame	data/chars/bosses/chin/run02.gif
	frame	data/chars/bosses/chin/run03.gif
	frame	data/chars/bosses/chin/run04.gif
	frame	data/chars/bosses/chin/run05.gif
	frame	data/chars/bosses/chin/run06.gif

anim runattack
	loop	0
	range	1 110
	offset	52 124
	delay	7
	bbox	31 52 34 73
	@cmd	stop
	@cmd	dasher 3 0 0
	@cmd	spawnbind2 "Chin_Effect" 0 0 1 1 6
	frame	data/chars/bosses/chin/run_atk01.gif
	sound	data/sounds/kick_se15.wav
	frame	data/chars/bosses/chin/run_atk02.gif
	attack	43 64 81 40 10 1
	dropv	4 1 0
	frame	data/chars/bosses/chin/run_atk03.gif
	frame	data/chars/bosses/chin/run_atk04.gif
	frame	data/chars/bosses/chin/run_atk03.gif
	frame	data/chars/bosses/chin/run_atk04.gif
	frame	data/chars/bosses/chin/run_atk03.gif
	frame	data/chars/bosses/chin/run_atk04.gif
	@cmd	dasher 1.5 0 0
	offset	20 66
	delay	10
	attack	0 0 0 0
	bbox	6 8 31 56
	frame	data/chars/bosses/chin/rise02.gif
	@cmd	stop
	frame	data/chars/bosses/chin/rise02.gif
	
anim pain
	loop	0
	offset	30 80
	bbox	7 13 37 67
	delay	8
	frame	data/chars/bosses/chin/pain101.gif
	delay	50
	frame	data/chars/bosses/chin/pain102.gif
	delay	8
	frame	data/chars/bosses/chin/pain101.gif

anim pain2
	loop	0
	offset	34 71
	bbox	14 9 39 62
	delay	8
	frame	data/chars/bosses/chin/pain201.gif
	delay	100
	frame	data/chars/bosses/chin/pain202.gif
	delay	8
	frame	data/chars/bosses/chin/pain201.gif

anim grabbed
	loop	0
	offset	30 80
	bbox	7 13 37 67
	delay	8
	frame	data/chars/bosses/chin/pain101.gif

anim pain5
	loop	0
	offset	34 71
	bbox	14 9 39 62
	delay	8
	frame	data/chars/bosses/chin/pain201.gif
	frame	data/chars/bosses/chin/pain202.gif
	frame	data/chars/bosses/chin/pain201.gif

anim pain3
	loop	0
	offset	34 71
	bbox	14 9 39 62
	delay	8
	frame	data/chars/bosses/chin/pain201.gif
	frame	data/chars/bosses/chin/pain202.gif
	frame	data/chars/bosses/chin/pain201.gif

anim fall
	loop	0
	delay	20
	offset	30 28
	bbox	2 1 68 37
	attack 	2 1 68 37		10 1
	landframe 2
	frame	data/chars/bosses/chin/fall01.gif
	offset	30 40
	bbox	3 7 74 33
	attack 	3 7 74 33		10 1
	delay	999
	frame	data/chars/bosses/chin/fall02.gif
	delay	50
	offset	42 24
	bbox	1 2 85 30
	attack 	1 2 85 30		10 1
	frame	data/chars/bosses/chin/fall03.gif

anim fall3
	loop	0
	delay	20
	offset	30 28
	landframe 2
	jumpframe 2 5.5 -1.5
	bbox	2 1 68 37
	frame	data/chars/bosses/chin/fall01.gif
	offset	30 40
	bbox	3 7 74 33
	delay	999
	frame	data/chars/bosses/chin/fall02.gif
	offset	42 24
	bbox	1 2 85 30
	delay	25
	@cmd	spawn02 "Slam_Effect" 0 0 0
	frame	data/chars/bosses/chin/fall03.gif
	offset	30 28
	bbox	2 1 68 37
	frame	data/chars/bosses/chin/fall01.gif
	offset	30 40
	bbox	3 7 74 33
	frame	data/chars/bosses/chin/fall02.gif
	offset	42 24
	bbox	1 2 85 30
	frame	data/chars/bosses/chin/fall03.gif

anim rise
	loop	0
	offset	20 66
	delay	18
	@cmd 	cProperty "facing" 0
	frame	data/chars/bosses/chin/rise01.gif
	delay	10
	frame	data/chars/bosses/chin/rise02.gif

anim attack1
	loop	0
	delay	1
	offset	52 124
	@cmd	key2ani "freespecial3" 0 "moveforward"
	frame	data/chars/bosses/chin/idle01.gif
	@cmd 	punches
	frame	data/chars/bosses/chin/idle01.gif

anim freespecial # basic punches
	loop	0
	offset	52 124
	delay	6
	bbox	41 54 36 69
	frame	data/chars/bosses/chin/atk101.gif
	bbox	39 56 38 68
	frame	data/chars/bosses/chin/atk102.gif
	bbox	46 57 42 67
	attack	70 58 47 33		10 0
	sound	data/sounds/punch.wav
	frame	data/chars/bosses/chin/atk103.gif
	frame	data/chars/bosses/chin/atk104.gif
	frame	data/chars/bosses/chin/atk105.gif
	attack	0 0 0
	bbox	41 54 36 69
	frame	data/chars/bosses/chin/atk101.gif

anim freespecial2
	loop	0
	delay	6
	offset	52 124
	bbox	41 54 36 69
	frame	data/chars/bosses/chin/atk101.gif
	bbox	39 56 38 68
	frame	data/chars/bosses/chin/atk201.gif
	bbox	46 57 42 67
	attack	70 58 52 33		10 0
	sound	data/sounds/punch.wav
	frame	data/chars/bosses/chin/atk202.gif
	frame	data/chars/bosses/chin/atk203.gif
	frame	data/chars/bosses/chin/atk204.gif
	attack2	0 0 0
	frame	data/chars/bosses/chin/atk205.gif
	bbox	41 54 36 69
	frame	data/chars/bosses/chin/atk101.gif

anim freespecial3 #Power Strike
	loop	0
	offset	52 124
	range	5 82
