music		data/music/level_3.bor
bossmusic	data/music/boss_1.bor
# Load images
panel	data/levels/level_3/lv3_base.gif
scrollspeed	2

#wall {xpos} {zpos} {upperleft} {lowerleft} {upperright} {lowerright} {depth} {alt} {type}

##platforms
wall 1920 290 -170 0 300 300 176 28 #boss platform


noslowfx	1
noslow		1
direction both
cameraoffset 0 -100
cameratype	0
order	a

#-------TEST STUFF--------




#--------OBJECTS---------

spawn	lv3_objects
coords	224 142
flip	1
mp		1 #event 1
alias	ani_follow1 #door
at		0

spawn	lv3_objects
coords	480 142
flip	1
mp		2 #event 2
alias	ani_follow1 #door
at		0

#----------------------------

spawn	lv3_objects
coords	644 139
flip	1
mp		5 #event 5
alias	ani_follow2 #locker
at		0

spawn	lv3_objects
coords	692 139
flip	1
mp		6 #event 6
alias	ani_follow2 #locker
at		0

spawn	lv3_objects
coords	740 139
flip	1
mp		3 #event 3
alias	ani_follow2 #locker
at		0

spawn	lv3_objects
coords	788 139
flip	1
mp		4 #event 4
alias	ani_follow2 #locker
at		0

#-----------------------------

spawn	lv3_objects
coords	1347 139
flip	1
mp		9 #event 9
alias	ani_follow2 #locker
at		0

spawn	lv3_objects
coords	1395 139
flip	1
mp		8 #event 8
alias	ani_follow2 #locker
at		0

spawn	lv3_objects
coords	1443 139
flip	1
mp		7 #event 7
alias	ani_follow2 #locker
at		0

#------------------------------

spawn	lv3_objects
coords	1551 142
flip	1
mp		10 #event 10
alias	ani_follow1 #door
at		0


spawn	lv3_objects
coords	1807 240 0
flip	1
mp		11 #event 11 last
alias	ani_follow3 #boss wall
at		0

spawn	DrumcanStand
coords	365 210
at		0

spawn	DrumcanStand
coords	680 220
at		0

spawn	DrumcanStand
coords	845 170
at		0

spawn	DrumcanStand
coords	1175 160
at		0

spawn	Drumcan
coords	1280 180
at		0

spawn	Drumcan
coords	1490 220
at		0

spawn	Drumcan
coords	1560 170
at		0

##----------ENEMIES-----------

#group	1 1
#at		0
#
#wait
#at		0
#
#spawn	delay
#health	8
#at		0
#
#spawn	Event
#coords	150 180
#mp		1
#at		0
#
#spawn	delay
#health	12
#at		0
#
#group	3 3
#at		0
#
#spawn	Aaron
#coords	261 130
#alias	ani_follow1
#map		1
#at		0
#
#spawn	delay
#health	12
#at		0
#
#spawn	delay
#health	12
#at		0
#
#spawn	Brown
#map		1
#coords	261 130
#alias	ani_follow1
#map		1
#at		0
#
#spawn	delay
#health	12
#at		0
#
#spawn	Aaron
#coords	261 130
#alias	ani_follow1
#at		0
#
#wait
#at		80
#
#group	4 4
#at		80
#
#spawn	Aaron
#coords	-80 150
#at		80
#
#spawn	Aaron
#coords	-70 180
#at		80
#
#spawn	Brown
#map		1
#coords	510 160
#map		1
#at		80
#
#spawn	Event
#coords	0 0
#mp		2
#at		0
#
#spawn	delay
#health	12
#at		80
#
#spawn	Clive
#coords	435 130
#alias	ani_follow1
#map		1
#at		80
#
#group	3 4
#at		80
#
#spawn	Cindy
#coords	520 150
#weapon	Whip
#at		80
#
#spawn	Cindy
#coords	520 180
#weapon	Whip
